Question_ID,Full_Mark,Topic_ID,Topic_Name,Difficulty,Concept_Detail
MC1,1,1.3.2,温度變化與熱容量,Medium,計算火焰温度，涉及熱容量和能量轉移的應用。
MC2,1,1.3.2,温度變化與熱容量,Medium,加熱時間與温度變化的關係，使用功率和熱容量計算。
MC3,1,1.2.1,內能與能量轉移,Low,比較不同温度水的內能，涉及分子動能和勢能的概念。
MC4,1,1.2.2,熱傳遞方式,Low,區分傳導、對流和輻射在不同介質中的發生條件。
MC5,1,2.1.2,距離和位移,Low,計算垂直上拋運動的總位移，區分位移和距離。
MC6,1,2.3.3,牛頓運動第二定律,Medium,應用牛頓第二定律計算摩擦力，給定質量和加速度。
MC7,1,2.2.2,運動線圖,Medium,從位移-時間圖計算平均速度，分析圖形斜率。
MC8,1,2.2.2,運動線圖,High,從加速度-時間圖計算位移，涉及積分概念。
MC9,1,2.4.1,物體組成的系統,High,分析系統中物體間的相互作用力，考慮摩擦和平衡。
MC10,1,2.4.2,力的合成和分解,High,計算共面力平衡所需的第四力大小和方向。
MC11,1,2.5.1,力的轉動效應,Medium,比較不同力配置下的力矩大小。
MC12,1,2.6.4,功率,Low,計算功率，使用力和速度的乘積。
MC13,1,2.6.3,能量變化和能量守恆,High,計算彈性勢能變化，結合重力勢能和動能變化。
MC14,1,2.2.3,勻加速運動方程,Medium,比較真空下落物體的速度、功率和能量損失。
MC15,1,2.7.1,動量守恆,Low,區分彈性和非彈性碰撞中的動量和能量守恆。
MC16,1,2.7.1,動量守恆,Medium,應用動量守恆定律計算碰撞前速度。
MC17,1,2.7.2,動量變化,Low,計算力作用時間後的動量變化。
MC18,1,2.8.2,分析拋體運動,Low,水平拋射物體的恆定水平速度，忽略空氣阻力。
MC19,1,2.8.2,分析拋體運動,Low,比較自由落體和水平拋射的落地時間和速度。
MC20,1,2.9.2,向心力與向心加速度,Medium,描述勻速圓周運動的速度、加速度和方向變化。
MC21,1,2.9.2,向心力與向心加速度,High,計算圓錐面上圓周運動的角速度，涉及向心力。
MC22,1,2.10.1,萬有引力,Medium,估算行星表面重力加速度，使用萬有引力定律。
MC23,1,3.1.2,反射與平面鏡,Medium,平面鏡成像原理，像的大小和可見範圍分析。
MC24,1,3.2.1,折射,Medium,光線在空氣-水界面折射路徑的正確性判斷。
MC25,1,3.3.4,物、像以及透鏡的關係,Medium,凸透鏡成像的放大率和像的性質判斷。
MC26,1,3.3.4,物、像以及透鏡的關係,Medium,凸透鏡成像的實際應用，判斷像的取向。
MC27,1,3.4.2,橫波的波動,Medium,波速與介質粒子速度的區別，最大粒子速度計算。
MC28,1,3.7.1,縱波,Low,從縱波圖形判斷振幅大小。
MC29,1,3.7.2,聲音的本質,Low,計算閃電距離，使用聲速和時間差。
MC30,1,4.1.3,電場,Low,電場線密度與電場強度的關係分析。
MC31,1,4.1.1,電荷,Low,靜電感應和電荷相互作用判斷帶電狀態。
MC32,1,4.1.3,電場,High,計算點電荷系統在中心點的電場強度大小和方向。
MC33,1,4.1.1,電荷,Medium,三種使金屬球帶正電的方法原理判斷。
1a,2,1.3.2,温度變化與熱容量,Medium,計算身體產生內能的功率，涉及比熱容量和散熱功率
1b,4,1.2.2,內能與能量轉移,Medium,以分子運動解釋流汗散熱機制
1ci,1,1.4.2,蒸發與凝結,Low,解釋流汗散熱功率上升的原因
1cii,3,1.4.1,潛 熱,Medium,計算蒸發的汗水質量，使用汽化比潛熱
1d,2,1.2.2,內能與能量轉移,Low,列舉兩種其他散熱方法
2a,1,2.3.4,重量與牛頓運動第二定律,Low,升降機恆速下降時磅的讀數
2b,3,2.3.3,牛頓運動第二定律,Medium,升降機勻減速上升時磅的讀數計算
2c,1,2.3.3,牛頓運動第二定律,Low,自由下落時磅的讀數
3a,2,2.3.1,力,Low,繪製汽車的隔離體圖
3b,3,2.3.3,牛頓運動第二定律,Medium,計算作用於汽車的摩擦力量值
3c,2,2.3.1,力,Medium,求路面作用於汽車的法向力
4a,2,2.6.2,機械能,Low,計算跑步獲得的勢能
4b,2,2.6.4,功 率,Low,計算跑步的平均功率
4ci,1,2.6.4,功 率,Medium,證明功率重量比等於平均垂直速度
4cii,3,2.6.4,功 率,Medium,比較不同質量運動員完成操練的快慢
4ciii,2,2.6.4,功 率,Medium,計算跑斜路時的功率
5a,2,2.7.1,動量守恆,Low,計算碰撞後紅色球的速度
5b,2,2.7.1,動量守恆,Low,判斷碰撞類型並解釋
6a,2,2.8.2,分析拋體運動,Medium,計算炮彈到達城牆所需時間
6b,3,2.8.2,分析拋體運動,High,判斷炮彈是否擊中城牆
6c,3,2.8.2,分析拋體運動,High,判斷炮彈能否越過城牆
7,4,2.9.2,向心力與向心加速度,High,計算平台最大轉速以防止木塊滑動
8ai,2,3.2.1,折 射,Medium,計算液體的折射率
8aii,2,3.2.2,全內反射,Medium,計算液體與空氣交界面的臨界角
8b,2,3.2.2,全內反射,Low,寫出全內反射的兩個條件
8c,4,3.2.2,全內反射,Medium,完成光線圖並標註角度
9a,1,3.3.1,凸透鏡與凹透鏡,Low,判斷透鏡類型
9b,5,3.3.4,物、像以及透鏡的關係,Medium,作圖求像距、放大率和焦距
10ai,1,3.6.3,平面透射光柵,Low,計算衍射角
10aii,3,3.6.3,平面透射光柵,High,計算光的波長
10aiii,1,3.6.3,平面透射光柵,Low,說出量度第二級衍射像的優點
10b,2,3.6.3,平面透射光柵,Medium,建議減低狹縫對準誤差的方法
11a,2,4.1.2,靜電力,Medium,計算兩球間的靜電力
11b,4,4.1.2,靜電力,High,求繩子張力和夾角
11c,1,4.1.2,靜電力,Medium,求懸掛點距離s
11di,1,4.1.2,靜電力,Low,判斷Z球的電性
11dii,2,4.1.2,靜電力,High,計算Z球的電量
